TradeDate,Open,High,Low,closingPrice,LastVolume
09/01/2017,142.98,144.5,142.98,144.08,3,348,757
08/31/2017,143.02,143.66,142.63,143.03,3,650,650
08/30/2017,143.26,143.28,142.41,142.56,2,733,727
08/29/2017,142.1,143.425,141.9,143.14,3,008,013
08/28/2017,144.11,144.56,142.39,142.51,5,131,244
08/25/2017,143.3,144.19,143.25,143.74,2,871,315
08/24/2017,142.5,143.68,142.25,142.94,3,590,994
08/23/2017,140.7,143.05,140.68,142.14,4,048,117
08/22/2017,140.64,141.15,140.38,141.01,2,544,345
08/21/2017,139.59,140.42,139.13,140.33,3,188,408
08/18/2017,140.87,141.15,139.58,139.7,4,151,484
08/17/2017,142.52,142.89,140.7,140.7,4,357,359
08/16/2017,141.79,142.91,141.61,142.5,3,287,450
08/15/2017,142.55,143.34,140.58,142.07,4,681,540
08/14/2017,142,142.76,141.94,142.32,2,244,010
08/11/2017,142.45,142.59,141.52,141.84,3,004,080
08/10/2017,141.64,142.42,141.23,141.84,4,524,754
08/09/2017,141.75,142.03,141.19,141.77,2,925,024
08/08/2017,142,142.76,142,142.11,3,295,007
08/07/2017,145,145.09,142.75,143.47,4,615,775
08/04/2017,145,145.39,144.4,145.16,2,549,397
08/03/2017,144.43,145.34,144.43,144.94,3,034,711
08/02/2017,145.12,145.29,144.22,144.45,3,433,707
08/01/2017,145,145.67,144.72,145.3,3,201,765
07/31/2017,144.38,144.93,144.17,144.67,4,342,497
07/28/2017,144.81,145.04,143.84,144.29,3,054,692
07/27/2017,145,145.395,143.64,145.07,6,375,899
07/26/2017,146.27,146.46,144.47,145.36,3,928,866
07/25/2017,146.57,147.49,146.03,146.19,4,207,232
07/24/2017,147,147.04,145.8,145.99,3,877,119
07/21/2017,147.59,147.87,146.51,147.08,6,509,258
07/20/2017,147.53,148.83,147.03,147.66,7,175,441
07/19/2017,150.02,150.25,146.71,147.53,14,292,020
07/18/2017,152.36,154.29,152,154,7,435,556
07/17/2017,153.59,153.88,152.2399,153.01,4,753,260
07/14/2017,154.01,154.615,153.4,154.24,3,256,144
07/13/2017,153.7,154.19,153.19,153.63,2,476,080
07/12/2017,153.48,154.24,153.05,153.7,3,097,831
07/11/2017,153.26,153.65,152.05,153.19,3,447,509
07/10/2017,152.91,153.89,152.63,153.42,3,410,665
07/07/2017,152.62,153.49,152.14,152.94,2,383,896
07/06/2017,153.36,153.83,152.23,152.36,2,756,760
07/05/2017,155.77,155.89,153.63,153.67,3,561,287
07/03/2017,153.58,156.025,153.52,155.58,2,822,651
06/30/2017,154.28,154.5,153.14,153.83,3,571,536
06/29/2017,155.35,155.74,153.62,154.13,3,261,684
06/28/2017,155.15,155.55,154.78,155.32,2,214,240
06/27/2017,155,155.34,154.5,154.75,2,386,491
06/26/2017,154.71,155.75,154.63,155.23,2,152,542
06/23/2017,154.34,154.68,153.8,154.11,3,282,201
06/22/2017,154.55,154.99,153.69,154.4,2,376,471
06/21/2017,155.79,155.79,153.39,153.79,3,958,819
06/20/2017,154.48,155.389,154.25,154.95,4,479,369
06/19/2017,155.51,155.86,154.54,154.84,4,536,193
06/16/2017,154.23,155.42,152.9676,155.38,6,373,354
06/15/2017,153.29,154.69,153.29,154.22,4,651,727
06/14/2017,153.97,154.9399,152.94,153.81,3,043,704
06/13/2017,155.44,155.48,154.15,154.25,3,523,529
06/12/2017,154.19,157.2,154.02,155.18,6,461,729
06/09/2017,152,154.265,151.88,154.1,4,356,544
06/08/2017,151,152.82,150.92,152.1,3,693,150
06/07/2017,153.05,154.2,150.8,150.98,4,859,095
06/06/2017,152,152.89,152,152.37,3,797,173
06/05/2017,151.82,152.93,151.6826,152.41,3,975,068
06/02/2017,153.07,153.2,151.8,152.05,3,581,773
06/01/2017,152.8,152.87,151.63,152.67,2,918,122
