Timestamp,close,high,low,open,volume
1401197402,555.008,556.41,554.35,556.38,81100
1401197460,556.250,556.30,555.25,555.25,18500
1401197526,556.730,556.75,556.05,556.39,9900
1401197582,557.480,557.67,556.73,556.73,14700
1401197642,558.155,558.66,557.48,557.59,15700
