 ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,,2013,2014,2015
Afghanistan,..,..,..,8.4,1.1,11.2,5.6,13.7,3.6,21.0,8.4,6.1,14.4,,3.9,2.7,1.3
Albania,6.7,7.9,4.2,5.8,5.7,5.7,5.4,5.9,3.8,3.4,3.7,2.6,1.4,,1.0,1.8,2.2
Algeria,3.8,3.0,5.6,7.2,4.3,5.9,1.7,3.4,2.4,1.6,3.6,2.9,3.4,,2.8,3.8,3.8
American Samoa,..,..,..,0.8,0.5,-0.4,-4.2,2.0,-2.6,-4.2,0.4,0.3,-4.4,,-2.8,0.9,1.2
Andorra,3.5,4.5,6.5,12.2,7.6,7.4,4.5,0.0,-8.6,-3.7,-5.4,-4.6,-1.6,,0.4,2.3,0.8
Angola,3.1,4.2,13.7,4.6,10.2,20.9,19.0,23.2,13.8,2.4,3.5,3.9,5.2,,6.8,4.7,3.0
Antigua and Barbuda,6.7,-5.0,1.0,6.1,5.7,6.4,12.7,9.3,0.0,-12.1,-7.2,-2.1,3.5,,-0.1,5.1,4.1
Argentina,-0.8,-4.4,-10.9,8.8,9.0,8.9,8.0,9.0,4.1,-5.9,10.1,6.0,-1.0,,2.4,-2.5,2.7
Armenia,5.9,9.6,13.2,14.0,10.5,13.9,13.2,13.7,6.9,-14.1,2.2,4.7,7.2,,3.3,3.6,3.2
Aruba,-0.4,-2.2,0.5,7.5,1.2,0.4,2.4,-3.7,-6.9,-5.7,..,..,..,,..,..,..
Australia,3.9,1.9,4.0,3.0,4.0,3.2,2.8,3.8,3.7,1.9,2.1,2.5,3.9,,2.6,2.6,2.4
Austria,3.4,1.3,1.7,0.9,2.7,2.2,3.5,3.7,1.5,-3.8,1.8,2.9,0.7,,0.0,0.8,1.1
Azerbaijan,11.1,9.9,10.6,11.2,10.2,26.4,34.5,25.0,10.8,9.4,4.9,0.1,2.2,,5.8,2.0,1.1
"Bahamas, The",4.1,2.6,2.7,-1.3,0.9,3.4,2.5,1.4,-2.3,-4.2,1.5,0.6,3.1,,-0.4,-0.1,1.0
Bahrain,5.3,2.5,3.6,6.0,7.0,6.8,6.5,8.3,6.2,2.5,4.3,2.0,3.7,,5.4,4.3,2.9
Bangladesh,5.3,5.1,3.8,4.7,5.2,6.5,6.7,7.1,6.0,5.0,5.6,6.5,6.5,,6.0,6.1,6.6
Barbados,2.3,-2.4,0.8,2.2,1.4,4.0,5.7,1.8,0.1,-4.0,0.3,0.7,0.3,,0.0,0.0,0.9
Belarus,5.8,4.7,5.0,7.0,11.4,9.4,10.0,8.6,10.2,0.2,7.8,5.5,1.7,,1.0,1.7,-3.8
Belgium,3.6,0.8,1.8,0.8,3.6,2.1,2.5,3.4,0.8,-2.3,2.7,1.8,0.2,,0.2,1.3,1.4
Belize,13.0,5.0,5.1,9.3,4.7,2.6,4.6,1.1,3.2,0.7,3.3,2.1,3.8,,0.7,4.0,3.8
Benin,5.9,5.3,4.6,3.4,4.4,1.7,3.9,6.0,4.9,2.3,2.1,3.0,4.8,,7.2,6.4,2.1
Bermuda,9.3,7.2,-1.5,3.4,2.3,1.7,5.5,2.8,1.5,-5.3,-2.1,-3.3,-4.8,,-2.5,..,..
